tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1300851,movie,The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day,0,2009,\N,118,"Action,Crime,Thriller",6.2,67665
tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,0,2011,\N,136,"Action,Adventure,Fantasy",6.6,581324
tt1298649,movie,The Watch,The Watch,0,2012,\N,102,"Comedy,Sci-Fi",5.7,134720
tt1298644,movie,The Hustle,The Hustle,0,2019,\N,93,"Comedy,Crime",5.5,67975
tt1297919,movie,Blitz,Blitz,0,2011,\N,97,"Action,Adventure,Crime",6.1,93410
tt1294688,movie,Last Night,Last Night,0,2010,\N,93,"Drama,Romance",6.5,51391
tt1294226,movie,The Last Song,The Last Song,0,2010,\N,107,"Drama,Music,Romance",6,93981
tt1293847,movie,xXx: Return of Xander Cage,xXx: Return of Xander Cage,0,2017,\N,107,"Action,Adventure,Thriller",5.2,99089
tt1292566,movie,How to Be Single,How to Be Single,0,2016,\N,110,"Comedy,Drama,Romance",6.1,96490
tt1291584,movie,Warrior,Warrior,0,2011,\N,140,"Action,Drama,Sport",8.1,510662
tt12915716,movie,Adipurush,Adipurush,0,2023,\N,179,"Action,Drama",2.7,135173
tt1291570,movie,Solace,Solace,0,2015,\N,101,"Crime,Drama,Mystery",6.4,71294
tt1291150,movie,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,0,2014,\N,101,"Action,Adventure,Comedy",5.8,224274
tt1289406,movie,Harry Brown,Harry Brown,0,2009,\N,103,"Action,Crime,Drama",7.2,92665
tt1289403,movie,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary & Potato Peel Pie Society,0,2018,\N,124,"Drama,Romance,War",7.3,55068
tt1289401,movie,Ghostbusters,Ghostbusters,0,2016,\N,117,"Action,Comedy,Fantasy",6.8,252100
tt12888462,movie,My Octopus Teacher,My Octopus Teacher,0,2020,\N,85,"Documentary,Drama",8.1,66891
tt1285241,movie,Don 2,Don 2,0,2011,\N,148,"Action,Crime,Thriller",7.1,59533
tt1285016,movie,The Social Network,The Social Network,0,2010,\N,120,"Biography,Drama",7.8,783018
tt1284575,movie,Bad Teacher,Bad Teacher,0,2011,\N,92,"Comedy,Romance",5.7,216519
tt12844910,movie,Pathaan,Pathaan,0,2023,\N,146,"Action,Adventure,Thriller",5.8,160084
tt1282140,movie,Easy A,Easy A,0,2010,\N,92,"Comedy,Drama,Romance",7,428985
tt1280558,movie,A Wednesday,A Wednesday,0,2008,\N,104,"Action,Crime,Drama",8.1,83728
tt12801262,movie,Luca,Luca,0,2021,\N,95,"Adventure,Animation,Comedy",7.4,207054
tt1279935,movie,Date Night,Date Night,0,2010,\N,88,"Comedy,Crime,Romance",6.3,175415
tt12789558,movie,Belfast,Belfast,0,2021,\N,98,"Biography,Drama,Romance",7.2,97020
tt1278340,movie,Dead Snow,Død snø,0,2009,\N,91,"Comedy,Fantasy,Horror",6.3,71420
tt1277953,movie,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,0,2012,\N,93,"Adventure,Animation,Comedy",6.8,205776
tt1276419,movie,A Royal Affair,En kongelig affære,0,2012,\N,137,"Biography,Drama,History",7.5,52386
tt1276104,movie,Looper,Looper,0,2012,\N,119,"Action,Drama,Sci-Fi",7.4,614277
tt12758060,movie,Tetris,Tetris,0,2023,\N,118,"Biography,Drama,History",7.4,94014
tt12747748,movie,Leave the World Behind,Leave the World Behind,0,2023,\N,138,"Drama,Mystery,Thriller",6.4,225423
tt12735488,movie,Kalki 2898 AD,Kalki 2898-AD,0,2024,\N,180,"Action,Adventure,Drama",7,64909
tt1272878,movie,2 Guns,2 Guns,0,2013,\N,109,"Action,Comedy,Thriller",6.7,230868
tt1270798,movie,X-Men: First Class,X: First Class,0,2011,\N,131,"Action,Sci-Fi",7.7,742230
tt1270797,movie,Venom,Venom,0,2018,\N,112,"Action,Adventure,Sci-Fi",6.6,570020
tt1270262,movie,The Devil's Double,The Devil's Double,0,2011,\N,109,"Biography,Drama,Thriller",7,64517
tt1268799,movie,A Very Harold & Kumar Christmas,A Very Harold & Kumar 3D Christmas,0,2011,\N,90,"Adventure,Comedy",6.2,73864
tt12680684,movie,The Hand of God,È stata la mano di Dio,0,2021,\N,130,Drama,7.3,51565
tt1267297,movie,Hercules,Hercules,0,2014,\N,98,"Action,Adventure,Fantasy",6,167515
tt1263670,movie,Crazy Heart,Crazy Heart,0,2009,\N,112,"Drama,Music,Romance",7.2,96279
tt1261945,movie,Sex and the City 2,Sex and the City 2,0,2010,\N,146,"Comedy,Drama,Romance",4.5,85931
tt12610390,movie,The Union,The Union,0,2024,\N,107,"Action,Comedy,Thriller",5.4,51056
tt1259571,movie,The Twilight Saga: New Moon,The Twilight Saga: New Moon,0,2009,\N,130,"Adventure,Drama,Fantasy",4.8,308191
tt1259528,movie,Den of Thieves,Den of Thieves,0,2018,\N,140,"Action,Crime,Drama",7,136762
tt12593682,movie,Bullet Train,Bullet Train,0,2022,\N,127,"Action,Comedy,Thriller",7.3,481093
tt1258972,movie,The Man with the Iron Fists,The Man with the Iron Fists,0,2012,\N,95,Action,5.4,64752
tt12584954,movie,Twisters,Twisters,0,2024,\N,122,"Action,Adventure,Thriller",6.5,155498
tt1255953,movie,Incendies,Incendies,0,2010,\N,131,"Drama,Mystery,War",8.3,221991
tt1253864,movie,Immortals,Immortals,0,2011,\N,110,"Action,Drama,Fantasy",6,179427
tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,2014,\N,102,"Action,Drama",6.2,322033
tt12536294,movie,Spencer,Spencer,0,2021,\N,117,"Biography,Drama",6.5,79273
tt1250777,movie,Kick-Ass,Kick-Ass,0,2010,\N,117,"Action,Comedy,Crime",7.6,606285
tt12477480,movie,Decision to Leave,Heojil kyolshim,0,2022,\N,139,"Crime,Drama,Mystery",7.3,60780
tt1245526,movie,RED,RED,0,2010,\N,111,"Action,Comedy,Crime",7,330711
tt1245492,movie,This Is the End,This Is the End,0,2013,\N,107,"Comedy,Fantasy",6.6,442601
tt1243974,movie,Aloha,Aloha,0,2015,\N,105,"Comedy,Drama,Romance",5.4,75312
tt1243957,movie,The Tourist,The Tourist,0,2010,\N,103,"Action,Thriller",6,261508
